,Date,Ticker,Company,TTM_NetIncome,Shareholders_Equity,Return_on_Equity,Total_Assets,Return_On_Assets,LT_Investments_Debt,Return_on_Investment,Shares_Outstanding,TTM_Revenue,TTM_Gross_Profit,Gross_Margin,Net_Margin
44,2011-03-31,BDX,becton-dickinson,1330000000.0,5100000000.0,0.2591,10340000000.0,0.1363,7580000000.0,0.22329999999999997,225000000.0,7220000000.0,3760000000.0,0.5213,0.1845
45,2010-12-31,BDX,becton-dickinson,1320000000.0,4880000000.0,0.2557,10070000000.0,0.1399,7360000000.0,0.2271,233000000.0,7100000000.0,3700000000.0,0.5211,0.1857
46,2010-09-30,BDX,becton-dickinson,1320000000.0,5440000000.0,0.2511,9650000000.0,0.1436,6930000000.0,0.2348,240000000.0,7120000000.0,3700000000.0,0.5186999999999999,0.185
47,2010-06-30,BDX,becton-dickinson,1240000000.0,5150000000.0,0.2391,9030000000.0,0.1361,6650000000.0,0.2469,238000000.0,7220000000.0,3750000000.0,0.5196999999999999,0.1714
48,2010-03-31,BDX,becton-dickinson,1270000000.0,5150000000.0,0.245,8940000000.0,0.1406,6640000000.0,0.24780000000000002,241000000.0,7210000000.0,3770000000.0,0.5223,0.1764
49,2009-12-31,BDX,becton-dickinson,1240000000.0,5260000000.0,0.2419,9090000000.0,0.1419,6750000000.0,0.2501,243000000.0,7140000000.0,3730000000.0,0.5223,0.17300000000000001
0,2021-12-31,MCK,mckesson,1410000000.0,-790000000.0,-7.5914,63710000000.0,0.022099999999999998,11880000000.0,0.1805,152000000.0,257010000000.0,13110000000.0,0.051,0.0055000000000000005
1,2021-09-30,MCK,mckesson,-4810000000.0,-90000000.0,82.1709,63600000000.0,-0.0759,13010000000.0,-0.3754,156000000.0,250990000000.0,12830000000.0,0.051100000000000007,-0.0192
2,2021-06-30,MCK,mckesson,-4500000000.0,-50000000.0,-3.0268,62890000000.0,-0.0716,13980000000.0,-0.37579999999999997,158000000.0,245220000000.0,12480000000.0,0.0509,-0.0183
3,2021-03-31,MCK,mckesson,-4540000000.0,180000000.0,-1.5597,65019999999.99999,-0.0738,14650000000.0,-0.3812,161000000.0,238230000000.0,12150000000.0,0.051,-0.0191
4,2020-12-31,MCK,mckesson,-4179999999.9999995,-280000000.0,-0.9976999999999999,61850000000.0,-0.0691,14260000000.0,-0.4154,160000000.0,237620000000.0,12190000000.0,0.0513,-0.0176
5,2020-09-30,MCK,mckesson,2230000000.0,6090000000.0,0.3803,61560000000.0,0.0369,11940000000.0,0.20850000000000002,163000000.0,234190000000.0,12070000000.0,0.051500000000000004,0.0095
6,2020-06-30,MCK,mckesson,920000000.0,5650000000.0,0.1533,57670000000.0,0.0154,12050000000.0,0.1993,163000000.0,231000000000.0,11940000000.0,0.051699999999999996,0.004
7,2020-03-31,MCK,mckesson,900000000.0,5310000000.0,0.1361,61250000000.0,0.0148,11640000000.0,0.18350000000000002,182000000.0,231050000000.0,12020000000.0,0.052000000000000005,0.0039000000000000003
8,2019-12-31,MCK,mckesson,-920000000.0,6390000000.0,-0.1246,60870000000.0,-0.0152,13120000000.0,0.0723,180000000.0,224950000000.0,11890000000.0,0.0528,-0.0040999999999999995
9,2019-09-30,MCK,mckesson,-630000000.0,6690000000.0,-0.0782,58990000000.0,-0.0105,14030000000.0,0.0886,183000000.0,221980000000.0,11830000000.0,0.0533,-0.0029
10,2019-06-30,MCK,mckesson,600000000.0,8070000000.0,0.0675,61680000000.0,0.0098,15450000000.0,0.0897,189000000.0,217440000000.0,11760000000.0,0.0541,0.0027
11,2019-03-31,MCK,mckesson,30000000.0,8289999999.999999,0.0037,59670000000.0,0.0006,15550000000.0,0.0546,197000000.0,214320000000.0,11750000000.0,0.0548,0.0002
12,2018-12-31,MCK,mckesson,-320000000.0,9390000000.0,-0.0327,61010000000.0,-0.0052,17010000000.000002,0.030899999999999997,195000000.0,213520000000.0,11630000000.0,0.0545,-0.0015
13,2018-09-30,MCK,mckesson,120000000.0,9530000000.0,0.0115,61420000000.0,0.0019,16100000000.000002,0.038599999999999995,199000000.0,210930000000.0,11370000000.0,0.053899999999999997,0.0006
14,2018-06-30,MCK,mckesson,-380000000.0,9650000000.0,-0.0353,61280000000.0,-0.0060999999999999995,16239999999.999998,0.011899999999999999,202000000.0,209910000000.0,11400000000.0,0.054299999999999994,-0.0018
15,2018-03-31,MCK,mckesson,70000000.0,10060000000.0,0.006,60380000000.0,0.0011,16809999999.999998,0.041100000000000005,209000000.0,208360000000.0,11180000000.0,0.0537,0.0003
16,2017-12-31,MCK,mckesson,4800000000.0,11970000000.0,0.4164,64209999999.99999,0.0766,19490000000.0,0.33990000000000004,208000000.0,205440000000.0,10910000000.0,0.053099999999999994,0.023399999999999997
17,2017-09-30,MCK,mckesson,4530000000.0,11360000000.0,0.4315,63850000000.0,0.0741,18850000000.0,0.3671,210000000.0,201960000000.0,11000000000.0,0.0545,0.022400000000000003
18,2017-06-30,MCK,mckesson,4840000000.0,11510000000.0,0.4806,61820000000.0,0.081,18940000000.0,0.4056,213000000.0,199850000000.0,10920000000.0,0.0547,0.0242
19,2017-03-31,MCK,mckesson,5070000000.0,11270000000.0,0.5303,60970000000.0,0.0863,18580000000.0,0.44939999999999997,223000000.0,198530000000.0,11270000000.0,0.056799999999999996,0.0255
20,2016-12-31,MCK,mckesson,1910000000.0,7850000000.0,0.2127,57870000000.0,0.0332,13820000000.0,0.2071,222000000.0,196500000000.0,11330000000.0,0.0576,0.0097
21,2016-09-30,MCK,mckesson,1910000000.0,9620000000.0,0.2065,58320000000.0,0.0336,15560000000.0,0.2034,228000000.0,194270000000.0,11390000000.0,0.058600000000000006,0.009899999999999999
22,2016-06-30,MCK,mckesson,2220000000.0,9490000000.0,0.24489999999999998,57900000000.0,0.0395,15430000000.0,0.222,228000000.0,193070000000.0,11480000000.0,0.0594,0.0115
23,2016-03-31,MCK,mckesson,2260000000.0,9010000000.0,0.25239999999999996,56520000000.0,0.0404,15510000000.0,0.214,233000000.0,190880000000.0,11420000000.0,0.059800000000000006,0.0118
24,2015-12-31,MCK,mckesson,1960000000.0,8960000000.0,0.2248,55090000000.0,0.0355,16680000000.0,0.20920000000000002,232000000.0,189130000000.0,11480000000.0,0.060700000000000004,0.0104
25,2015-09-30,MCK,mckesson,1800000000.0,8870000000.0,0.2051,55820000000.0,0.0326,17010000000.000002,0.1977,235000000.0,187720000000.0,11510000000.0,0.0613,0.0096
26,2015-06-30,MCK,mckesson,1650000000.0,8940000000.0,0.1797,55930000000.0,0.0304,17079999999.999998,0.1797,235000000.0,183120000000.0,11530000000.0,0.0629,0.009000000000000001
27,2015-03-31,MCK,mckesson,1480000000.0,8090000000.0,0.1532,53870000000.0,0.0276,16270000000.0,0.1573,235000000.0,179050000000.0,11410000000.0,0.0637,0.008199999999999999
28,2014-12-31,MCK,mckesson,1710000000.0,9160000000.0,0.16820000000000002,55110000000.0,0.0323,18140000000.0,0.1465,236000000.0,171950000000.0,11050000000.0,0.0642,0.01
29,2014-09-30,MCK,mckesson,1310000000.0,10530000000.0,0.1319,52230000000.0,0.027000000000000003,20150000000.0,0.1409,235000000.0,159800000000.0,10000000000.0,0.0626,0.008199999999999999
30,2014-06-30,MCK,mckesson,1240000000.0,10770000000.0,0.13390000000000002,53010000000.0,0.027999999999999997,20910000000.0,0.1512,235000000.0,148630000000.0,9150000000.0,0.0616,0.0084
31,2014-03-31,MCK,mckesson,1260000000.0,10320000000.0,0.1497,51760000000.0,0.0316,19250000000.0,0.17350000000000002,233000000.0,137389999999.99998,8350000000.0,0.0608,0.0092
32,2013-12-31,MCK,mckesson,1150000000.0,8029999999.999999,0.15109999999999998,36480000000.0,0.0323,12550000000.0,0.2059,234000000.0,130199999999.99998,7790000000.0,0.0599,0.0088
33,2013-09-30,MCK,mckesson,1390000000.0,7990000000.0,0.184,35950000000.0,0.0397,12510000000.0,0.2104,233000000.0,126970000000.0,7590000000.0,0.059800000000000006,0.0109
34,2013-06-30,MCK,mckesson,1380000000.0,7410000000.0,0.1852,35490000000.0,0.0404,11930000000.0,0.2113,232000000.0,123740000000.0,7250000000.0,0.058600000000000006,0.011200000000000002
35,2013-03-31,MCK,mckesson,1340000000.0,7070000000.0,0.18059999999999998,34790000000.0,0.0403,11590000000.0,0.212,239000000.0,122200000000.0,6880000000.0,0.056299999999999996,0.0109
36,2012-12-31,MCK,mckesson,1600000000.0,7650000000.0,0.2177,33430000000.0,0.048799999999999996,11620000000.0,0.2218,240000000.0,122840000000.0,6570000000.0,0.0535,0.013000000000000001
37,2012-09-30,MCK,mckesson,1600000000.0,7720000000.0,0.2194,32970000000.0,0.0489,10790000000.0,0.22440000000000002,240000000.0,122580000000.0,6490000000.0,0.0529,0.0131
38,2012-06-30,MCK,mckesson,1500000000.0,7200000000.0,0.20929999999999999,31750000000.0,0.0461,10280000000.0,0.2127,240000000.0,123040000000.0,6450000000.0,0.0525,0.012199999999999999
39,2012-03-31,MCK,mckesson,1400000000.0,6830000000.0,0.19820000000000002,33090000000.000004,0.0434,9900000000.0,0.20170000000000002,251000000.0,122320000000.0,6400000000.0,0.052300000000000006,0.0115
40,2011-12-31,MCK,mckesson,1300000000.0,7460000000.0,0.18170000000000003,33159999999.999996,0.041100000000000005,11030000000.0,0.192,251000000.0,119890000000.0,6470000000.0,0.054000000000000006,0.0109
41,2011-09-30,MCK,mckesson,1160000000.0,7120000000.0,0.1636,31910000000.0,0.0373,10690000000.0,0.18170000000000003,250000000.0,117300000000.0,6370000000.0,0.054299999999999994,0.009899999999999999
42,2011-06-30,MCK,mckesson,1190000000.0,6920000000.0,0.1698,31020000000.0,0.04,10490000000.0,0.18289999999999998,254000000.0,114610000000.0,6090000000.0,0.053099999999999994,0.0104
43,2011-03-31,MCK,mckesson,1200000000.0,7220000000.0,0.1718,30890000000.0,0.0416,10810000000.0,0.1895,263000000.0,112080000000.0,5970000000.0,0.0533,0.010700000000000001
44,2010-12-31,MCK,mckesson,1130000000.0,7080000000.0,0.1594,30400000000.0,0.04,9390000000.0,0.1891,258000000.0,109870000000.0,5800000000.0,0.0528,0.0103
45,2010-09-30,MCK,mckesson,1300000000.0,6820000000.0,0.1833,26790000000.0,0.0473,9090000000.0,0.21050000000000002,262000000.0,109900000000.0,5800000000.0,0.0527,0.0118
46,2010-06-30,MCK,mckesson,1270000000.0,6880000000.0,0.1802,27400000000.0,0.0464,9160000000.0,0.2163,272000000.0,109500000000.0,5770000000.0,0.0527,0.0116
47,2010-03-31,MCK,mckesson,1260000000.0,7530000000.0,0.1827,28190000000.0,0.0467,9830000000.0,0.2182,273000000.0,108700000000.0,5680000000.0,0.052199999999999996,0.0116
48,2009-12-31,MCK,mckesson,1200000000.0,7120000000.0,0.1819,27540000000.0,0.0455,9420000000.0,0.218,274000000.0,108280000000.0,5560000000.0,0.0513,0.011000000000000001
0,2022-03-31,ABC,amerisourcebergen,1730000000.0,910000000.0,2.7643,57310000000.0,0.030299999999999997,5550000000.0,0.3922,212000000.0,229670000000.0,8250000000.0,0.0359,0.0075
1,2021-12-31,ABC,amerisourcebergen,1610000000.0,600000000.0,4.3329,57580000000.0,0.0296,7010000000.0,0.36200000000000004,211000000.0,221100000000.0,7550000000.0,0.0341,0.0073
2,2021-09-30,ABC,amerisourcebergen,1540000000.0,580000000.0,16.3395,57340000000.0,0.029900000000000003,6970000000.0,0.40590000000000004,208000000.0,213990000000.0,6940000000.0,0.032400000000000005,0.0072
3,2021-06-30,ABC,amerisourcebergen,-3740000000.0,410000000.0,14.3037,55930000000.0,-0.0776,7060000000.0,-0.9093000000000001,209000000.0,204320000000.0,6220000000.0,0.0304,-0.0183
4,2021-03-31,ABC,amerisourcebergen,-3750000000.0,-100000000.0,-5.9642,47000000000.0,-0.0842,6040000000.0,-0.9287000000000001,207000000.0,196280000000.0,5560000000.0,0.028300000000000002,-0.0191
